"SA Restricted Word: ID","SA Restricted Word: SA Restricted Word Name","Word","RegexValue","ReplacementRegexValue","Designation Type","Substitution","Description","SampleEntry","isActive","Override Substitution"
"a0BHy00000A9Rqj","RW-0091","Pregnancy|pregnant|prick|Privil| Privilege*|promised increase|promised performance|prostitute|pulmonary|punani","\b(?i)(Pregnancy|pregnant|prick|Privil| Privilege*|promised increase|promised performance|prostitute|pulmonary|punani)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rqk","RW-0092","punanny|puto|puuke|puuker|queef|queerbait| queerhole|queers|queerz|Quote","\b(?i)(punanny|puto|puuke|puuker|queef|queerbait| queerhole|queers|queerz|Quote)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rql","RW-0093","qweers|qweerz|qweir|Ratard|recktum|rectum|Regulator|Remarried|renob|retard","\b(?i)(qweers|qweerz|qweir|Ratard|recktum|rectum|Regulator|Remarried|renob|retard)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rqm","RW-0094","Retarded|ruski|sadist|scank|schlong|screwing|scrote|scrotum|SEC|Security","\b(?i)(Retarded|ruski|sadist|scank|schlong|screwing|scrote|scrotum|SEC|Security)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rqn","RW-0095","semen|sex|sexy|shemale|shiz|shiznit|Should wait to apply|Shut up|Single mother|skanck","\b(?i)(semen|sex|sexy|shemale|shiz|shiznit|Should wait to apply|Shut up|Single mother|skanck)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rqo","RW-0096","skankee|skankey|skanks|Skanky|skeet|Skim|Skimming|slutbag|Slutty|slutz","\b(?i)(skankee|skankey|skanks|Skanky|skeet|Skim|Skimming|slutbag|Slutty|slutz)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rqp","RW-0097","smeg|SMH| smut|snatch|Spaz|Spearchucker|Spear-chucker|Sperm|spic|spick","\b(?i)(smeg|SMH| smut|snatch|Spaz|Spearchucker|Spear-chucker|Sperm|spic|spick)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rqq","RW-0098","Spin-off|splooge|spook|Stock|stoopid|stroke|stupid|Suppress|Suppress*|surgery","\b(?i)(Spin-off|splooge|spook|Stock|stoopid|stroke|stupid|Suppress|Suppress*|surgery)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rqr","RW-0099","Syndicate|Tar baby|tard|teets|teez|Terminally ill|testical|testicle|Testicles|Tip","\b(?i)(Syndicate|Tar baby|tard|teets|teez|Terminally ill|testical|testicle|Testicles|Tip)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rqs","RW-0100","Too many bills|Too many creditors|Too many debts|Too old towelhead|towel-head|Trade|Transgender|tumor |turd","\b(?i)(Too many bills|Too many creditors|Too many debts|Too old towelhead|towel-head|Trade|Transgender|tumor |turd)\b","","Foul Language","****","","","1","0"
